mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=272.220922322	met46546	5alpha-Androst-16-en-3-one	HMDB0034406	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	272.21401552	C19H28O
m/z=272.220922322	met40690	5a-Androst-3-en-17-one 	HMDB0006046	Endogenous|Food	Organic compounds	Extracellular|Membrane	272.21401552	C19H28O
m/z=273.091822484	met51850	L-Thyronine	HMDB0000667	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	273.10010797	C15H15NO4
m/z=273.164555673	met59472	Linalyl anthranilate	HMDB0030433	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	273.17287899	C17H23NO2
m/z=273.164555673	met53308	alpha-Terpinyl anthranilate	HMDB0038051	Food	Organic compounds	Membrane	273.17287899	C17H23NO2
m/z=273.164686579	met59472	Linalyl anthranilate	HMDB0030433	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	273.17287899	C17H23NO2
m/z=273.164686579	met53308	alpha-Terpinyl anthranilate	HMDB0038051	Food	Organic compounds	Membrane	273.17287899	C17H23NO2
m/z=274.159721808	met42135	2-Butyl-5-[2-(4-hydroxy-3-methoxyphenyl)ethyl]furan	HMDB0040926	Food	Organic compounds	Membrane	274.15689457	C17H22O3
m/z=274.159721808	met43306	Gamma-glutamyl-Lysine	HMDB0029154	Endogenous	Organic compounds	NULL	274.16410521	C11H22N4O4
m/z=274.159721808	met52437	[6]-Dehydroshogaol	HMDB0033090	Food	Organic compounds	Membrane	274.15689457	C17H22O3
m/z=274.159721808	met15481	Lysyl-Gamma-glutamate	HMDB0028965	Endogenous	Organic compounds	NULL	274.16410521	C11H22N4O4
m/z=274.159721808	met57668	Glutaminyl-Lysine	HMDB0028802	Endogenous	Organic compounds	NULL	274.16410521	C11H22N4O4
m/z=274.159721808	met48595	1b-Furanoeudesm-4(15)-en-1-ol acetate	HMDB0032697	Endogenous|Food	Organic compounds	Membrane	274.15689457	C17H22O3
m/z=274.159721808	met42085	Panaquinquecol 4	HMDB0038939	Food	Organooxygen compounds	Membrane	274.15689457	C17H22O3
m/z=274.159721808	met19331	Lysyl-Glutamine	HMDB0028949	Endogenous	Organic compounds	NULL	274.16410521	C11H22N4O4
m/z=274.16788461	met43306	Gamma-glutamyl-Lysine	HMDB0029154	Endogenous	Organic compounds	NULL	274.16410521	C11H22N4O4
m/z=274.16788461	met19331	Lysyl-Glutamine	HMDB0028949	Endogenous	Organic compounds	NULL	274.16410521	C11H22N4O4
m/z=274.16788461	met15481	Lysyl-Gamma-glutamate	HMDB0028965	Endogenous	Organic compounds	NULL	274.16410521	C11H22N4O4
m/z=274.16788461	met57668	Glutaminyl-Lysine	HMDB0028802	Endogenous	Organic compounds	NULL	274.16410521	C11H22N4O4
m/z=279.154052065	met42813	E-10-Hydroxynortriptyline	HMDB0013889	Drug metabolite|Endogenous	Organic compounds	Extracellular	279.1623143	C19H21NO
m/z=279.154052065	met67047	(±)-Metalaxyl	HMDB0031802	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	279.14705816	C15H21NO4
m/z=280.099297965	met65304	L-beta-aspartyl-L-phenylalanine 	HMDB0011167	Endogenous	Organic compounds	NULL	280.10592163	C13H16N2O5
m/z=280.099297965	met51903	Gravolenic acid	HMDB0033884	Food	Phenylpropanoids and polyketides	Cytoplasm|Extracellular	280.09468824	C14H16O6
m/z=280.099297965	met65451	Methionyl-Methionine	HMDB0028979	Endogenous	Organic compounds	NULL	280.0915339	C10H20N2O3S2
m/z=280.099297965	met21170	Phenylalanyl-Aspartate	HMDB0028991	Endogenous	Organic compounds	NULL	280.10592163	C13H16N2O5
m/z=280.099297965	met7901	L-Aspartyl-L-phenylalanine	HMDB0000706	Food	Organic compounds	NULL	280.10592163	C13H16N2O5
m/z=280.099297965	met56155	Aspartyl-Phenylalanine	HMDB0028760	Endogenous	Organic acids and derivatives	NULL	280.10592163	C13H16N2O5
m/z=281.229306933	met64652	Methyl 15-cyanopentadecanoate	HMDB0032791	Endogenous|Food	Organic compounds	Extracellular|Membrane	281.23547924	C17H31NO2
m/z=281.229381956	met64652	Methyl 15-cyanopentadecanoate	HMDB0032791	Endogenous|Food	Organic compounds	Extracellular|Membrane	281.23547924	C17H31NO2
